scheme,pool_correction,model,repeat,fold,selected_k,selected_param,label_variant
plain,False,logistic_l2,0,0,4,C=100.0,da_untreated
plain,False,logistic_l1,0,0,4,C=1.0,da_untreated
plain,False,logistic_l2,0,1,4,C=10.0,da_untreated
plain,False,logistic_l1,0,1,4,C=10.0,da_untreated
plain,False,logistic_l2,0,2,5,C=1.0,da_untreated
plain,False,logistic_l1,0,2,8,C=1.0,da_untreated
plain,False,logistic_l2,0,3,3,C=0.01,da_untreated
plain,False,logistic_l1,0,3,3,C=0.1,da_untreated
plain,False,logistic_l2,0,4,7,C=10.0,da_untreated
plain,False,logistic_l1,0,4,8,C=10.0,da_untreated
plain,False,logistic_l2,1,0,9,C=10.0,da_untreated
plain,False,logistic_l1,1,0,5,C=100.0,da_untreated
plain,False,logistic_l2,1,1,4,C=100.0,da_untreated
plain,False,logistic_l1,1,1,4,C=10.0,da_untreated
plain,False,logistic_l2,1,2,4,C=1.0,da_untreated
plain,False,logistic_l1,1,2,5,C=10.0,da_untreated
plain,False,logistic_l2,1,3,4,C=1.0,da_untreated
plain,False,logistic_l1,1,3,4,C=1.0,da_untreated
plain,False,logistic_l2,1,4,5,C=100.0,da_untreated
plain,False,logistic_l1,1,4,5,C=1.0,da_untreated
plain,False,logistic_l2,2,0,2,C=1.0,da_untreated
plain,False,logistic_l1,2,0,4,C=1.0,da_untreated
plain,False,logistic_l2,2,1,3,C=0.1,da_untreated
plain,False,logistic_l1,2,1,2,C=1.0,da_untreated
plain,False,logistic_l2,2,2,4,C=10.0,da_untreated
plain,False,logistic_l1,2,2,10,C=1.0,da_untreated
plain,False,logistic_l2,2,3,7,C=100.0,da_untreated
plain,False,logistic_l1,2,3,7,C=100.0,da_untreated
plain,False,logistic_l2,2,4,5,C=1.0,da_untreated
plain,False,logistic_l1,2,4,5,C=1.0,da_untreated
plain,False,logistic_l2,3,0,3,C=0.01,da_untreated
plain,False,logistic_l1,3,0,3,C=0.1,da_untreated
plain,False,logistic_l2,3,1,3,C=0.1,da_untreated
plain,False,logistic_l1,3,1,3,C=0.1,da_untreated
plain,False,logistic_l2,3,2,9,C=10.0,da_untreated
plain,False,logistic_l1,3,2,9,C=10.0,da_untreated
plain,False,logistic_l2,3,3,4,C=100.0,da_untreated
plain,False,logistic_l1,3,3,4,C=100.0,da_untreated
plain,False,logistic_l2,3,4,6,C=100.0,da_untreated
plain,False,logistic_l1,3,4,6,C=100.0,da_untreated
plain,False,logistic_l2,4,0,7,C=100.0,da_untreated
plain,False,logistic_l1,4,0,8,C=100.0,da_untreated
plain,False,logistic_l2,4,1,5,C=10.0,da_untreated
plain,False,logistic_l1,4,1,5,C=100.0,da_untreated
plain,False,logistic_l2,4,2,8,C=100.0,da_untreated
plain,False,logistic_l1,4,2,8,C=100.0,da_untreated
plain,False,logistic_l2,4,3,4,C=1.0,da_untreated
plain,False,logistic_l1,4,3,4,C=1.0,da_untreated
plain,False,logistic_l2,4,4,4,C=100.0,da_untreated
plain,False,logistic_l1,4,4,4,C=1.0,da_untreated
plain,False,logistic_l2,5,0,4,C=10.0,da_untreated
plain,False,logistic_l1,5,0,4,C=10.0,da_untreated
plain,False,logistic_l2,5,1,3,C=0.1,da_untreated
plain,False,logistic_l1,5,1,5,C=100.0,da_untreated
plain,False,logistic_l2,5,2,9,C=100.0,da_untreated
plain,False,logistic_l1,5,2,4,C=1.0,da_untreated
plain,False,logistic_l2,5,3,5,C=1.0,da_untreated
plain,False,logistic_l1,5,3,3,C=1.0,da_untreated
plain,False,logistic_l2,5,4,4,C=100.0,da_untreated
plain,False,logistic_l1,5,4,4,C=100.0,da_untreated
plain,False,logistic_l2,6,0,10,C=10.0,da_untreated
plain,False,logistic_l1,6,0,7,C=100.0,da_untreated
plain,False,logistic_l2,6,1,6,C=100.0,da_untreated
plain,False,logistic_l1,6,1,6,C=10.0,da_untreated
plain,False,logistic_l2,6,2,6,C=1.0,da_untreated
plain,False,logistic_l1,6,2,8,C=10.0,da_untreated
plain,False,logistic_l2,6,3,4,C=100.0,da_untreated
plain,False,logistic_l1,6,3,4,C=10.0,da_untreated
plain,False,logistic_l2,6,4,4,C=100.0,da_untreated
plain,False,logistic_l1,6,4,4,C=100.0,da_untreated
plain,False,logistic_l2,7,0,5,C=100.0,da_untreated
plain,False,logistic_l1,7,0,5,C=100.0,da_untreated
plain,False,logistic_l2,7,1,10,C=0.1,da_untreated
plain,False,logistic_l1,7,1,10,C=1.0,da_untreated
plain,False,logistic_l2,7,2,4,C=10.0,da_untreated
plain,False,logistic_l1,7,2,4,C=10.0,da_untreated
plain,False,logistic_l2,7,3,6,C=100.0,da_untreated
plain,False,logistic_l1,7,3,5,C=100.0,da_untreated
plain,False,logistic_l2,7,4,3,C=0.1,da_untreated
plain,False,logistic_l1,7,4,8,C=100.0,da_untreated
plain,False,logistic_l2,8,0,4,C=10.0,da_untreated
plain,False,logistic_l1,8,0,4,C=1.0,da_untreated
plain,False,logistic_l2,8,1,8,C=100.0,da_untreated
plain,False,logistic_l1,8,1,9,C=10.0,da_untreated
plain,False,logistic_l2,8,2,4,C=100.0,da_untreated
plain,False,logistic_l1,8,2,4,C=100.0,da_untreated
plain,False,logistic_l2,8,3,4,C=1.0,da_untreated
plain,False,logistic_l1,8,3,5,C=10.0,da_untreated
plain,False,logistic_l2,8,4,4,C=100.0,da_untreated
plain,False,logistic_l1,8,4,4,C=100.0,da_untreated
plain,False,logistic_l2,9,0,3,C=0.1,da_untreated
plain,False,logistic_l1,9,0,4,C=1.0,da_untreated
plain,False,logistic_l2,9,1,4,C=100.0,da_untreated
plain,False,logistic_l1,9,1,4,C=100.0,da_untreated
plain,False,logistic_l2,9,2,8,C=100.0,da_untreated
plain,False,logistic_l1,9,2,8,C=100.0,da_untreated
plain,False,logistic_l2,9,3,10,C=10.0,da_untreated
plain,False,logistic_l1,9,3,10,C=10.0,da_untreated
plain,False,logistic_l2,9,4,4,C=100.0,da_untreated
plain,False,logistic_l1,9,4,4,C=100.0,da_untreated
donor_grouped,False,logistic_l2,0,0,4,C=100.0,da_untreated
donor_grouped,False,logistic_l1,0,0,7,C=10.0,da_untreated
donor_grouped,False,logistic_l2,0,1,10,C=10.0,da_untreated
